FID,Shape *,id,geometry_t,geometry_c,geometry_1,geometry_n,latitude,longitude,ri_service,timestamp,cce_availa,category,global_id,name,functional,type,ownership,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,alternate_,contact_ph,contact_na,cce_quanti,cce_lastup,accessibil
0,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5dd0,Point,6.688533,10.707223,geometry_type,10.707223,6.688533,Unknown,2018-09-25T14:24:37Z,Unknown,Primary Health Center,965e847e-a149-4edf-90d3-30c9461959fa,Pole Wire's Health Center,Unknown,Primary,Public,KD0101,eHA_Polio,Gayam,19001,Birnin Gwari,KD,Kaduna, , , , , , 
1,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5dc5,Point,6.745297,10.725047,geometry_type,10.725047,6.745297,Unknown,2018-09-25T14:34:39Z,Unknown,Primary Health Center,1938268f-426c-4221-a264-ee7bcfd6b2e0,Health Center Gayam,Functional,Primary,Others,KD0101,NPHCDA,Gayam,19001,Birnin Gwari,KD,Kaduna, , , , , , 
2,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5dc1,Point,7.041757,10.648297,geometry_type,10.648297,7.041757,Unknown,2018-09-25T14:24:39Z,Unknown,Primary Health Clinic,ad534918-f452-4f81-b313-61ee4cbcbf36,Health Clinic Labi,Unknown,Primary,Others,KD0101,NPHCDA,Gayam,19001,Birnin Gwari,KD,Kaduna, , , , , , 
3,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5dba,Point,6.642158,10.769058,geometry_type,10.769058,6.642158,Unknown,2018-09-25T14:24:37Z,Unknown,Primary Health Clinic,4bbad2db-1bc5-4e28-9842-4abb8b2c5119,Girezin Primary Health Carep,Functional,Primary,Public,KD0101,eHA_Polio,Gayam,19001,Birnin Gwari,KD,Kaduna, , , , , , 
4,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5dae,Point,6.180544,10.777357,geometry_type,10.777357,6.180544,Unknown,2018-09-25T14:24:37Z,Unknown,Primary Health Center,73c0922c-b6aa-427f-aba9-8614b26ecc6b,Kankangi Model Primary Health Center,Unknown,Primary,Public,KD0102,eHA_Polio,Kakangi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
5,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5da7,Point,6.35428,10.64994,geometry_type,10.64994,6.35428,Yes,2018-09-25T14:24:32Z,Unknown,Primary Health Center,9700a9a6-aac3-469b-966b-afa1c9b19492,Sabon Layi Primary Health Center,Functional,Primary,Public,KD0102,eHA_Polio,Kakangi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
6,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d9c,Point,6.35103,10.64669,geometry_type,10.64669,6.35103,Yes,2018-09-25T14:24:32Z,Unknown,Primary Health Clinic,95c98549-003c-46c8-8106-20c896b4fe46,Ikon Allah Nursing And Maternity,Unknown,Primary,Public,KD0102,eHA_Polio,Kakangi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
7,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d97,Point,6.123258,10.743787,geometry_type,10.743787,6.123258,Unknown,2018-09-25T14:24:35Z,Unknown,Primary Health Clinic,e9b517ff-e63c-4307-9852-5f0904e8aa60,Kakangi Primary Health Care,Unknown,Primary,Public,KD0102,eHA_Polio,Kakangi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
8,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d8f,Point,6.569636,10.638247,geometry_type,10.638247,6.569636,Unknown,2018-09-25T14:24:37Z,Unknown,Primary Health Center,bc4ac18d-e185-4478-877e-298eee1858e7,Gayam Primary Health Center,Unknown,Primary,Public,KD0103,eHA_Polio,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna, , , , , , 
9,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d86,Point,6.546779,10.663299,geometry_type,10.663299,6.546779,Unknown,2018-09-25T14:24:38Z,Unknown,Primary Health Clinic,95aa2916-c1b8-43fb-b3bc-eb3f1f542064,Unguwan Shittu Health Clinic,Unknown,Primary,Public,KD0103,eHA_Polio,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna, , , , , , 
